name,brand_name,price_of_the_bottle,mrp_of_the_bottle,rating,number_of_rating,size_of_the_bottle,key_ingredients,key_benifits,category
Dr. Reckeweg R36 Nerves Disease Drop,Dr Reckeweg & Co,236.0,270.0,4.3,75.0,22.0,,Reduces over-sensitivity in childrenRelieves restlessness in the legsHelps prevent restless sleep,Mental wellness
LDD Bioscience Yelo-Lax Tablet,LDD Bioscience Pvt Ltd,119.0,130.0,4.1,37.0,50.0,Phenolphthalein,"Eases constipation


Regulates bowel movements


Improves metabolism",Digestion
LDD Bioscience Yelo-Lax Tablet,LDD Bioscience Pvt Ltd,979.0,1100.0,4.1,37.0,1000.0,Phenolphthalein,"Eases constipation


Regulates bowel movements


Improves metabolism",Digestion
SBL Silk N Stay Antiseptic Calendula Soap,SBL Pvt Ltd,55.0,55.0,4.4,244.0,75.0,Sodium palmate,"Acts as a moisturizer and prevent dry, rough and minor skin irritationsAnti-ageing effects that heals and protects the skinIt lightens and evens skin tone by cleansing away pore-deep impuritiesFades pigmentation marks and blemishes",Skin care
Bakson's Diab Aid Drop,Bakson's Homeopathy,155.0,155.0,4.6,118.0,30.0,,"Bakson Diab Aid drops are a natural and safe homoeopathic medicine for diabetesThey regulate blood sugar levels in pre-diabetic and type-2 Diabetes conditionsDiab Aid drops help alleviate common diabetes symptoms like frequent urination and thirstRecommended adult dosage is 10-15 drops in 1/4th cup of water before meals, three times a day",Diabetes
Dr Willmar Schwabe India Alpha - HA Drop,Dr Willmar Schwabe India Pvt Ltd,105.0,125.0,4.5,100.0,30.0,"It can help relieve throbbing, tearing, and digging pain","Provides relief from headaches


Reduces throbbing pain


Improves overall well-being",Fever
SBL Bio-Combination 7 Tablet,SBL Pvt Ltd,98.0,110.0,4.6,142.0,25.0,Calcarea Phosphorica,"It helps in increased micturition, excessive thirst and drynessIt aids in relieving cramps, prostration and sleeplessnessIt helps to improve kidney and liver functioningIt improves urination with less sensation of weakness and pain in the kidney",kidney
Dr Willmar Schwabe India Carica Papaya Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,107.0,125.0,4.4,31.0,30.0,,Relieves indigestionKills intestinal wormsRegulates cholesterolFights arthritic pain,Digestion
Dr Willmar Schwabe India Rhus Toxicodendron Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,101.0,115.0,4.6,505.0,30.0,Rhus Toxicodendron,Helps manage sore throat and excessive coughHelps manage skin conditions like itchiness and rashesHelps reduce pains associated with arthritis and rheumatismHelps relieve symptoms of flu and viral infectionsAids in managing sore throat and excessive cough,Throat care
SBL Janosia Ashoka Mother Tincture Q,SBL Pvt Ltd,94.0,105.0,4.5,130.0,30.0,,Possesses estrogenic propertiesHelps in hormonal balance in womenHelps heal the inflamed endometrium,Health supplement
SBL Silicea Biochemic Tablet 12X,SBL Pvt Ltd,95.1,110.0,4.5,379.0,25.0,,"Useful for bone disorders?ÿ


Manages defective nutrition


Helps with difficulty in passing stool


Relieves skin dryness, itching and swelling",Joint
SBL Ammi Visnaga Cream,SBL Pvt Ltd,60.3,75.0,4.1,78.0,25.0,Ammivisnaga,Innovative formula that is useful to treat hyperpigmentationNon-greasy formula gives quick drying and non-oily feelIndicated to treat loss of pigmentation seen as white spots on skin,Skin care
Bakson's Natrum Sulphuricum Biochemic Tablet 6X,Bakson's Homeopathy,106.0,120.0,4.6,39.0,250.0,Natrum sulphuricum,"It can help to maintain good liver health


It can help to reduce headaches


It may help to condition diarrhoea


It also helps to manage symptoms of gout",Fever
SBL Graphites Dilution 30 CH,SBL Pvt Ltd,86.2,100.0,4.5,251.0,30.0,,"Manages cough?ÿ


Addresses swollen eyelids


Assists with concerns associated with skin concerns like acne, eczema and psoriasis


Maintains digestive health",Eye Care
ADEL 8 CO-Hypert Drop,Adel Pekana Germany,260.0,295.0,4.6,59.0,20.0,,Helps to control blood pressure levelEnhances the potassium absorption in the bodyHelps to decrease the viscosity of bloodProvides relief from headache in occiput,Diabetes
Bakson Flu Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,189.0,215.0,4.6,42.0,75.0,This formula helps cease sneezing,Helps manage fever and headachesHelps deal with sneezingSupports immunity,Fever
ADEL 33 Apo-Oedem Drop,Adel Pekana Germany,248.0,295.0,4.6,52.0,20.0,It stimulates the kidneys and helps eliminate circulatory problems that can lead to swelling in the hands and feet,Stimulates the kidneys and helps eliminate circulatory problemsReduces nervous heart conditions caused by infectious-toxic disruptions in the heart muscleActs as a powerful diuretic and treats heart conditionsHelps to regulate the various metabolic which are necessary for oedematic states,ENT
SBL Physostigma Venenosum Dilution 30 CH,SBL Pvt Ltd,88.0,100.0,4.5,191.0,30.0,,"Reduces redness and watering in eyes


Regulates blood pressure levels


Reduces sensation of irritation, numbness, and tingling in the spine",Eye Care
SBL Sarsaparilla Mother Tincture Q,SBL Pvt Ltd,194.0,220.0,4.6,100.0,30.0,,"Helps alleviate urinary problems


Helps with fluid retention?ÿ


Supports digestive health",kidney
Bakson B11 Pain Drop,Bakson's Homeopathy,163.0,185.0,4.5,120.0,30.0,Berberis vul,"Bakson B11 Drops relieve tearing, drawing pains in muscles, bones, and jointsEffective against pain and stiffness in the back and neck, and leg numbnessEffective against muscle weakness in the legsTreats acute and chronic myalgia, lumbago, sciatica, spondyloarthritis, and spondylosis",ENT
Dr Willmar Schwabe India Ocimum Sanctum Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,96.8,110.0,4.6,100.0,30.0,Ocimum Sanctum (Holy Basil),"Abundant in antioxidantsAids in digestionHelpful for renal painsHelps relieve fever, cough and cold",Digestion
Bhargava Tumorin Drop,Bhargava Phytolab,162.0,180.0,4.3,113.0,30.0,Conium macalutum 4x,"It is an effective and natural tumour absorberPrevents abnormal enlargement of thyroid, axillary, mammary and lymph nodesUseful in mastitis in breastfeeding mothers with cracking and small ulcers about nipplesHelps remove stony-hard goiterIt does not form a habit",Throat care
Dr. Reckeweg Vita-C 15 Sedative,Dr Reckeweg & Co,597.0,695.0,4.4,149.0,250.0,Acid phos,Helps in reducing general weaknessReduces stress and enhances moodImproves sleep quality,Mental wellness
Dr Willmar Schwabe India Arsenicum Album Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,88.0,100.0,4.5,363.0,30.0,,Relieves acidity and indigestionManages stress and anxietyManages skin and respiratory ailmentsRelieves fever,Digestion
Dr. Reckeweg R77 Anti-Smoking Drop,Dr Reckeweg & Co,238.0,270.0,4.2,86.0,22.0,,May help quit smokingRelieves headaches due to smokingPrevents arrhythmic palpitation,Fever
Dr. Reckeweg R74 Nocturnal Enuresis Drop,Dr Reckeweg & Co,238.0,270.0,4.6,81.0,22.0,,Helps relieve bed-wettingPrevents urinary tract infectionsAids in regulating bladder functions,kidney
SBL Relaxhed Drop,SBL Pvt Ltd,116.0,130.0,4.6,115.0,30.0,,"Manages concerns associated with migraine


Protects from sunlight exposure


Manages indigestion",Digestion
Dr. Reckeweg Tribulus Terr Mother Tincture Q,Dr Reckeweg & Co,260.0,295.0,4.3,69.0,20.0,,Regulates male hormonesPromotes muscle growth and recoveryImproves blood circulationReduces fatigue and exhaustion,Joint
SBL Acid Nitricum Dilution 200 CH,SBL Pvt Ltd,99.1,115.0,4.6,347.0,30.0,,Potent remedy for headache and intermittent feverActs as a laxative to deal with constipation Useful for respiratory tract ailmentsHelpful in cases of haemorrhoids,Digestion
Dr. Reckeweg R41 Sexual Neurasthenia Drop (22ml Each),Dr Reckeweg & Co,475.0,540.0,0.0,0.0,2.0,Agnus castus helps relieve physical exhaustion and weakness,Improves power and performanceBoosts vigour and vitalityHelps improve energy levels,Health supplement
Bakson Calci Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,189.0,215.0,4.4,73.0,75.0,Calcarea carbonica HPI 3x,"Provides holistic calcium supports for pregnancy, menopause, and agingCalcarea carbonica and silicea strengthens bones and alleviates crampsSilicea promotes wellness in growing children, fights bone issuesEmbrace homeopathic power for strong, flexible bones",Joint
SBL Colocynthis Dilution 30 CH,SBL Pvt Ltd,88.0,100.0,4.6,347.0,30.0,,Relieves pains and cramps in musclesProvides relief from stiffness and pain in jointsUseful in treating sciatica,Joint
SBL Homoeopathic Home Kit,SBL Pvt Ltd,786.0,845.0,4.5,84.0,1.0,Provides relief in acute inflammatory condition of the throat with pain,"Helpful against constipationHelps relieve stress, anxiety and depressionEffective remedy for travel sickness, nausea and other conditions",Eye Care
Dr. Reckeweg Echinacea Ang Mother Tincture Q,Dr Reckeweg & Co,260.0,295.0,4.7,59.0,20.0,,"Useful for lymphatic inflammation and foul discharges


Helpful in cases of nausea, heartburn and tonsils


Alleviates symptoms of insect bites


Beneficial for urinary disorders",ENT
Dr. Reckeweg Aspidosperma Mother Tincture Q,Dr Reckeweg & Co,288.0,335.0,4.4,87.0,20.0,,It is used for treating disorders associated with the respiratory systemHighly beneficial for people suffering from asthma and influenzaIt helps in relieving congestion in the chest and prevents frequent coughingHelps to promote breathing,Fever
Dr. Reckeweg Ruta Graveolens Dilution 30 CH,Dr Reckeweg & Co,119.0,135.0,4.6,224.0,11.0,Ruta Graveolens,"Relieves arthritic and rheumatic pains


Alleviates eye strain


Facilitates quick recovery from injuries


Reduces muscle, joint and bone pain",Eye Care
Dr. Reckeweg Baryta Carb Dilution 30 CH,Dr Reckeweg & Co,119.0,135.0,4.5,183.0,11.0,"Reduces the loss of memory, short attention span, confusion, language difficulties, irritability and impaired judgement","Helps enhance memory


Helps with tonsillitis and associated symptoms


Helps manage the tendency to talk and twitch during sleep",Throat care
Allen A90 Ovarian Cysts Drop,Allen Homoeo & Herbal Products Ltd,153.0,170.0,4.7,59.0,30.0,Apis Mellifica 3x,Crafted with homeopathy elementsCaters to female reproductive healthAddresses symptoms of ovarian cystsSafe for consumption,Health supplement
Dr Willmar Schwabe India Calcarea Carbonica Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,101.0,115.0,4.5,175.0,30.0,"It manages local and general perspiration, swelling of glands, eczema in children","Recommended for patients who are chronically tired and lacking in energy, having headaches is relievedIt is used in fright, suppressed discharges, faulty (improper) nutritionChronic tonsillitis, constriction in the throat, and cramp-like contraction is relievedIt is used for the treatment carpal tunnel syndrome",Throat care
Hapdco B.Ve. Phos Children Tonic,HAPDCO,273.0,310.0,4.5,161.0,450.0,,"Effective for concern associated with liver


Helps manage anaemia in children


Manages bilious concerns",Liver
Allen A89 Cholesterol Drop,Allen Homoeo & Herbal Products Ltd,153.0,170.0,4.5,105.0,30.0,,"Maintains healthy levels of LDL cholesterol and HDL cholesterol


Supports cardiovascular health


Maintains healthy functioning of the liver",Liver
Dr Willmar Schwabe India Nuphar Lutea Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,242.0,275.0,4.3,117.0,30.0,,"Used in case of nervous weaknessTreats impotency and involuntary emissions during spermatorrhoeaIndicated in case of pain in testicles and penisHelps in reducing the swelling, boils, inflamed and red skinHas antispasmodic, hypotensive and vasoconstrictor properties",Skin care
SBL Antimonium Crudum Dilution 200 CH,SBL Pvt Ltd,99.1,115.0,4.6,358.0,30.0,,"It helps in fighting obesityHelps treat Depression, grief and feeling of indifference towards lifeUseful in treating skin issues like pimples, vesicles and Eczema",Skin care
Hapdco Cholerasol Drop,HAPDCO,82.0,90.0,4.6,126.0,30.0,,"Addresses insect bites


Manages concerns associated with abdominal


Relieves colic pain and headache",Fever
SBL Thuja Occidentalis Dilution 1000 C,SBL Pvt Ltd,123.0,140.0,4.4,1168.0,30.0,The dilution can help minimise warts and flat ulcers that appear on the corners of the mouth and lips,"Primarily used to treat viral warts; a small, fleshy bump on the skin or mucous membrane caused by human papillomavirusHelps in treating and preventing juvenile acne caused by inflammation of the hair folliclesHelps in fighting skin disorders like eczema, rash and seborrheic dermatitisIt is useful in chronic conditions and prevents health conditions",Hair care
Dr. Reckeweg R83 Food Allergy Drop,Dr Reckeweg & Co,273.0,310.0,4.3,102.0,30.0,,Helps relieve food allergyAids in providing antihistamine effects Enhances immune system,Health supplement
SBL Agnus Castus Mother Tincture Q,SBL Pvt Ltd,107.0,125.0,4.2,168.0,30.0,,Assists in psychological-related concernsAids in managing concerns associated with depression and anxietyRestores energy levels in the body,Mental wellness
SBL Lecithinum Trituration Tablet 3X,SBL Pvt Ltd,155.0,175.0,4.2,111.0,25.0,,"Promotes overall health


Helps maintain haemoglobin levels


Manages loss of appetite


Supports brain health",Health supplement
Haslab Baby Tone-Up Tonic,HASLAB,69.0,85.0,4.4,135.0,100.0,,"A homoeopathy formulation that acts as a growth supplement for children


Helps to keep them active and increases their immunity power


Improves appetite


Beneficial for taking care of bones and digestive system",Joint
Bakson's Beepee Aid Drop,Bakson's Homeopathy,290.0,330.0,4.5,97.0,100.0,,"Bakson Bee Pee Aid drops: control blood pressure by regulating blood circulation and preventing venous stasisOffers a natural and effective solution to maintain healthy blood pressure levelsWorks with the body's natural healing processes, promoting overall health and well-beingProvides a holistic approach to maintaining healthy blood pressure levels without harmful side effects",Diabetes
SBL Agnus Castus Dilution 200 CH,SBL Pvt Ltd,99.1,115.0,4.3,381.0,30.0,Its primary use includes treatment of a psychological disorder such as depression and anxiety,A homeopathy solution that is safe for consumptionMay curtail symptoms of anxiety and related issuesKeeps you energized and fitSoothes arthritic and rheumatic painsMay help with sexual health,Mental wellness
SBL Bio-Combination 10 Tablet,SBL Pvt Ltd,96.8,110.0,4.4,94.0,25.0,Calcarea Phosphorica,It provides effective relief from inflamed tonsilsIt reduces greyish white patches that cause bad breath with loss of appetiteIt reduces pain and hoarseness of voice in swollen tonsils,Throat care
Allen A82 Premature Greying Of Hair Drop,Allen Homoeo & Herbal Products Ltd,153.0,170.0,3.9,130.0,30.0,,"Promotes healthy hair and scalp


Addresses hair fall and dandruff


Relieves itching and eczema on the scalp


Strengthens hair roots",Hair care
Dr Willmar Schwabe India Alfalfa Tonic For Children,Dr Willmar Schwabe India Pvt Ltd,110.0,130.0,4.4,122.0,100.0,Acidum phosphoricum 2x 5.0%,"Provides essential nutrients


Promotes physical activities


Reduces fatigue and weakness",Health supplement
Dr. Reckeweg Gymnema Syl Mother Tincture Q,Dr Reckeweg & Co,219.0,255.0,4.7,43.0,20.0,,"Helps manage blood sugar levels?ÿ


Helps boost energy


Improves digestion


Effective in rheumatoid, gout, and arthritis


Works as a liver tonic",Diabetes
SBL Bio-Combination 15 Tablet,SBL Pvt Ltd,96.1,110.0,4.4,94.0,25.0,Calcarea Phosphorica,It helps to strengthen the female reproductive systemIt balances hormones and helps regulate menstrual rhythm in womenIt reduces the pain in the back and improves blood circulation,Health supplement
Dr. Reckeweg China Dilution 200 CH,Dr Reckeweg & Co,141.0,160.0,4.6,383.0,11.0,Highly potent remedy for the treatment of stomach disorders including nausea and vomiting,"Relieves digestive disorders


Manages menstrual problems


Helps reduce liver inflammation


Relieves fever",Fever
Bakson's Anti Lice Shampoo,Bakson's Homeopathy,145.0,165.0,4.0,97.0,150.0,Effectively helps to relieve itching itching caused by lice bites,"Reduces lice and dryness


Moisturises the scalp


Reduces itching


Strengthens hair roots",Hair care
Bakson's Calcarea Fluorica Biochemic Tablet 6X,Bakson's Homeopathy,92.4,105.0,4.3,64.0,250.0,"It helps build up the dental enamel, the surface of bones, the top layers of the skin and the walls of the blood vessels",Helps build up the dental enamelAssists in flat feet and callosityHelps manage tooth decay and delayed dentitionAids in relieving piles,Dental care
SBL Grindelia Robusta Mother Tincture Q,SBL Pvt Ltd,216.0,240.0,4.5,85.0,30.0,,"Useful for splenic pains


Relieves lethargy and fullness in the stomach


Manages skin burns, blisters and rashes


Improves digestion and manages breathing issues",Digestion
Medisynth Kofeez Cough Syrup,Medisynth Chemicals Pvt Ltd,106.0,120.0,4.6,138.0,120.0,Blatta Orientalis,Helps to relieve coughPrevents throat sorenessRelieves inflammation,Throat care
Dr Willmar Schwabe India Nisikind Globules,Dr Willmar Schwabe India Pvt Ltd,110.0,125.0,4.5,110.0,10.0,,Gives relief from coughGives relief from respiratory tract congestionSoothes chest painIt is a homeopathy pill and is safe for use,Fever
Dr. Reckeweg R10 Climacteric Drop,Dr Reckeweg & Co,243.0,270.0,4.7,59.0,22.0,,Helps in maintaining menstrual healthAids in relieving ovarian disordersManages endocrine dysfunction,Health supplement
Allen Derma Plus Cream,Allen Homoeo & Herbal Products Ltd,90.0,100.0,4.2,150.0,25.0,Chrysarobinum,"Useful for dry, rough and scaly skinEffective for various skin ailmentsRelieves burning and itchingDeals with skin infections",Skin care
Bakson B33 Cough Drop,Bakson's Homeopathy,163.0,185.0,4.4,101.0,30.0,,"Unique herbal formulation that are effective bronchi relaxants, expectorants and respiratory demulcentsManages infections, allergies, inflammation and other kinds of issues faced by the respiratory tractFights against infection and useful in sore throatRelieves all types of cough",Throat care
SBL Sulphur Dilution 6 CH,SBL Pvt Ltd,88.0,100.0,4.4,1109.0,30.0,Sugar of milk,"This dilution can help improve skin ailments


It soothes the skin and relieves dryness and itchiness


It is a homoeopathic medicine",Skin care
"Dr. Romas Homeopathy HD-3 Acne, 2 Bottles of 2 Dram",Dr. Romas Homeopathy,280.0,350.0,0.0,0.0,2.0,Berberis aquifolium HPI 30,Prevents acne and pimple eruptionsRemoves the blotchiness and patchiness of the skinSoothes and hydrates rough and scaly skinGives you a clear and bright lookIt is safe for use,ENT
SBL Gaultheria Procumbens Mother Tincture Q,SBL Pvt Ltd,290.0,330.0,4.6,118.0,30.0,"Relieves inflammatory rheumatism, diaphragm and ribs muscle pain","Relieves rheumatic and rib muscle pain


Eases nerve and kidney swelling


Useful for gastric and urinary bladder problems


Helpful in face and head neuralgia",Joint
ADEL 27 Inflamyar Drop,Adel Pekana Germany,260.0,295.0,4.3,68.0,20.0,,"Provides pain relief and promotes healing activity in the muscles, connective tissues, tendons and jointsImproves circulation in the afflicted areas and eliminates venous blockageSupports relief from shortened tendons, neuralgia, neuritis, tendonitis, gout and rheumatic painsAddresses tearing and stabbing-type pains and is indicated in joint and muscle rheumatism",ENT
Bakson's Kali Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,106.0,120.0,4.5,32.0,250.0,"It is helpful in prostration, loss of mental vigor, and Depression","Manages?ÿ NeurastheniaEffective in septic HaemorrhagesFor Diarrhoea, Dysentery, adynamic or Typhoid conditions",Digestion
SBL Stobal Cough Syrup,SBL Pvt Ltd,62.6,70.0,4.6,1435.0,60.0,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,"It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tractActs on dry coughs, irritation in the throat and coughs associated with bronchitis, and laryngitisIt reduces spasmodic irritation of the chestA homeopathy cough medicine that removes phlegm and relieves difficulty in swallowing",Throat care
Dr. Reckeweg Acid Fluor Dilution 30 CH,Dr Reckeweg & Co,119.0,135.0,4.5,134.0,11.0,Acidum Fluoricum,"Helps with hair loss


Useful for varicose veins


Helps manage ulcers",Hair care
Dr. Reckeweg Selenium Trituration Tablet 3X,Dr Reckeweg & Co,209.0,240.0,4.2,94.0,20.0,,A homeopathy blend which is safe for consumptionEnhances immune functionHas antioxidant propertiesMay help with minor heart issuesFights inflammation and increases blood flow,ENT
SBL Graphites Dilution 200 CH,SBL Pvt Ltd,99.1,115.0,4.5,256.0,30.0,,"Manages cough?ÿ


Addresses swollen eyelids


Assists with concerns associated with skin concerns like acne, eczema and psoriasis


Maintains digestive health",Eye Care
Dr. Reckeweg Agnus Castus Dilution 30 CH,Dr Reckeweg & Co,119.0,135.0,4.3,181.0,11.0,Its primary use includes treatment of a psychological disorder such as depression and anxiety,"Helps enhance mood


Increases energy levels


Regulates the menstrual cycle


Alleviates arthritic and rheumatic pain",Health supplement
Dr Willmar Schwabe India Tussikind Tablet,Dr Willmar Schwabe India Pvt Ltd,122.0,145.0,4.5,82.0,10.0,,"Helpful for cough and congestionHelps manage irritation of larynx and tracheaAids with dysphonis, wheezing and hoarsenessHelps manage constriction of bronchi",Fever
Dr Willmar Schwabe India Carbo Vegetabilis Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,88.0,100.0,4.5,279.0,30.0,Vegetable charcoal,It is used in gastro-intestinal disorders especially dyspepsia and flatulenceIt is also useful in diarrhea of old peopleHas been useful in collapse stage of choleraAids in the management of dysentry and hemorrhoids,Digestion
Dr. Reckeweg Cantharis Dilution 30 CH,Dr Reckeweg & Co,119.0,135.0,4.5,165.0,11.0,,"Primarily used to reduce inflammation of urinary bladder


Alleviates kidney pain


Possesses antiseptic properties


Relieves skin redness and irritation",kidney
SBL Fel Tauri Trituration Tablet 3X,SBL Pvt Ltd,151.0,175.0,4.5,80.0,25.0,,"Manages liver-related concerns


Regulates blood sugar levels


Helps lower elevated cholesterol levels


Promotes bowel movements and aids in bowel cleansing",Diabetes
Dr. Reckeweg Conium Mac Dilution 200 CH,Dr Reckeweg & Co,138.0,160.0,4.5,176.0,11.0,,"Useful for urinary infections


Helps with inconsistent discharge of urine


Promotes healing of ulcers",kidney
Dr. Reckeweg Bio-Combination 7 (BC 7) Tablet,Dr Reckeweg & Co,163.0,185.0,4.7,67.0,20.0,Calcarea Phosphorica,Helps with liver and kidney functionsRelieves cramps and sleeplessnessAids in regulating sugar levels,Diabetes
SBL Graphites Ointment,SBL Pvt Ltd,68.9,75.0,4.3,116.0,25.0,Graphites,"Helps with eczema


Helps prevent acne


Reduces dryness",Skin care
LDD Bioscience Fungikure,LDD Bioscience Pvt Ltd,141.0,160.0,4.6,32.0,30.0,,It helps reduce the skin irritationIt offers to minimize redness without darkening the skin,Skin care
Wheezal Hekla Lava Dental Dental Gel,Wheezal Homeo Pharma,82.0,95.0,4.4,76.0,100.0,Plantago,"Provides relief from bleeding gums and keeps gums strongerReverses the early signs of gum infectionsHelps in managing tooth decay and gum bleedingContains antibacterial, anti-inflammatory and wound healing properties",ENT
ADEL 78 Dercut Ointment,Adel Pekana Germany,440.0,510.0,4.2,50.0,35.0,,"Metabolises and eliminates toxins via the intestines and urological tractReduces acne, psoriasis, eczema, hives, oozing rashes, herpes zoster and itching dermatitisWell known for trachoma states of the skin, wet eczema and itching and burning pustules",Digestion
Dr Willmar Schwabe India Lycopodium Clavatum Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,101.0,115.0,4.4,286.0,30.0,It is used for bloating and liver complaints,"Tincture of fresh leavesRemedy works on the bloating and liver complaintsReduces back - ache, joint pains, digestive troubles, etc.",Joint
Dr Willmar Schwabe India Histaminum Hydrochloricum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,76.0,100.0,4.5,133.0,30.0,The medicine is indicated for the management of allergies,"Relieves allergy symptoms


This medicine uses highly diluted natural substances to relieve arthritic pain


It does not have any side effects",Fever
Dr. Reckeweg R4 Diarrhoea Drop,Dr Reckeweg & Co,232.0,270.0,4.5,86.0,22.0,,Can help in the treatment of diarrhoeaMay provide relief from nausea and vomitingCan help reduce dehydration,Eye Care
Dr. Reckeweg China Off Mother Tincture Q,Dr Reckeweg & Co,223.0,255.0,4.6,62.0,20.0,,"Prevents loss of vital fluids


Useful for chronic gout


Helps with chronic suppurative pyelitis


Manages debility and fever",Fever
SBL Thyroidinum Dilution 200 CH,SBL Pvt Ltd,99.1,115.0,4.5,200.0,30.0,Thyroidinium,Useful in the treatment of hyperthyroidism & hypothyroidism and assoiated ailemntsEffective in treatment of goitre and migraineReduces general weakness and fatigueHelps in improving digestion,Digestion
Bhargava Angel Gloss Complexion Cream,Bhargava Phytolab,97.0,110.0,4.0,138.0,30.0,Berberis Aquifolium Q 2%,"Reduces scars, pimples and blackheadsMoisturizes the skin and maintains the pHSuitable for all skin typesGently exfoliates and improves the compelxionReduces pigmentation and tanning",Skin care
ADEL 16 Gastul Drop,Adel Pekana Germany,260.0,295.0,4.5,77.0,20.0,,Enhances protein absorption in the bodyHelps to build healthy cells and tissuesHelps to counter mental exhaustionUseful in case of liver and gastrointestinal diseases,Liver
Dr. Reckeweg Sepia Dilution 200 CH,Dr Reckeweg & Co,141.0,160.0,4.6,210.0,11.0,,"Manages concerns associated with menopause


Relieves fatigue and manages nutritional deficiencies


Helps regulate helathy menstrual cycle",Health supplement
SBL Dysmin Tablet,SBL Pvt Ltd,145.0,165.0,4.6,77.0,25.0,"Cactus grandiflorus 3x, Caulophyllum thalictroides 3x, Cimicifuga racemosa 3x, Magnesium phosphoricum 3x, Viburnum opulus 3x","Relieves menstrual pain


Reduces backache


Non-drowsy and non-addictive


Relieves other menstrual symptoms",Health supplement
Dr. Reckeweg R34 Recalcifying Drop,Dr Reckeweg & Co,238.0,270.0,4.7,50.0,22.0,Dr. Reckeweg R34 Recalcifying Drop is beneficial for improving the levels of calcium in the body,Helps in supporting bone healthReduces pain and inflammationEnhances calcium levels in the body,Joint
SBL Denton Tablet,SBL Pvt Ltd,145.0,165.0,4.5,83.0,25.0,,"Aids in calcium and phosphate absorption


Effective relief from dentition-related issues


Relieves abdominal pain, diarrhea, and irritability",Health supplement
Dr Willmar Schwabe India Hamamelis Virginica Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,132.0,150.0,4.4,131.0,30.0,,Used in treating the inhalation of the pollen which causes haemorrhageHelps in reducing the repeated colds and tuberculosisReduces the feeling of weaknessCalms and treats the chilliness alternating with heatProvides treatment for nacho-pharyngeal catarrhUsed in case of burning in throatReduces the pain in limbs and thoracic oppression,Throat care
Hapdco Laxosoft Powder,HAPDCO,147.0,165.0,4.2,211.0,100.0,"Isabgol Husk, Sanay, Amla, Bahera, Harad, Sonth, Mulethi, Saunf, Triphala","Helps relieve acidity and constipation


Supports digestive health


Promotes hepatic function


Regulates bowel movements",Digestion
Bakson B9 Hemorrhoidal Drop,Bakson's Homeopathy,163.0,185.0,4.6,101.0,30.0,,"B9 Hemorrhoids Drops are natural and effective homoeopathic medicine for haemorrhoidsThey alleviate symptoms like anal itching and profuse bleedingThey provide relief from immediate symptoms and help prevent a recurrence, ideal for long-term useTrust B9 Hemorrhoids Drops for relief from discomfort and embarrassment caused by haemorrhoids",Skin care
Dr. Reckeweg R56 Oxysan Vermifuge Drop,Dr Reckeweg & Co,232.0,270.0,4.4,65.0,22.0,Artemisia Vulgaris,It helps remove worms from the digestive systemIt helps maintain healthy digestive functionsIt aids in the treatment of helminths,Digestion
Dr. Reckeweg Hepar Sulphur Dilution 30 CH,Dr Reckeweg & Co,119.0,135.0,4.6,233.0,11.0,Hepar sulphur,Useful for glandular swellings and eruptionsRelieves cough and sore throatAlleviates gum pain and ear achesHelpful for digestive and skin problems,ENT
Dr. Reckeweg Acidum Phosph Dilution 200 CH,Dr Reckeweg & Co,141.0,160.0,4.4,122.0,11.0,,"Relieves headache, exhaustion and mental weakness


Alleviates eye soreness


Useful for stomach distention and nausea


Improves digestion and stimulates appetite",Eye Care
Dr Willmar Schwabe Germany Tonsiotren Tablet,Dr Willmar Schwabe India Pvt Ltd,396.0,440.0,4.8,45.0,20.0,"Atropinum sulphuricum is the main alkaloid of belladonna, which gives immediate relief from inflammation, pain and improves the circulation",Effectively relieves sore throatAlleviates inflammationHelpful in cases of chronic tonsillitis and sinusitisStimulates healing process in general,Throat care
Bakson B2 Stomach Drop,Bakson's Homeopathy,163.0,185.0,4.4,82.0,30.0,,"Natural and effective homeopathic medicine for gas and acidity problems


Provides relief from acute and chronic gastritis symptoms such as heartburn, dyspepsia, ulceration, and flatulence


Alleviates weak digestion, bloating, and fullness


Made from natural ingredients that are gentle on the stomach and have no side effects


Provides fast relief from gas and acidity-related problems


Regular use leads to long-lasting relief from digestive problems without harmful side effects",ENT
