name,brand_name,price_of_the_bottle,mrp_of_the_bottle,rating,number_of_rating,size_of_the_bottle,key_ingredients,key_benifits,category
SBL Sulphur Dilution 6 CH,SBL Pvt Ltd,ƒ??88,ƒ??100,4.4,1109 Ratings,30 ml Dilution,Sugar of milk,"This dilution can help improve skin ailments


It soothes the skin and relieves dryness and itchiness


It is a homoeopathic medicine",Skin care
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
"Dr. Romas Homeopathy HD-3 Acne, 2 Bottles of 2 Dram",Dr. Romas Homeopathy,ƒ??280,ƒ??350,,,2 bottles,Berberis aquifolium HPI 30,Prevents acne and pimple eruptionsRemoves the blotchiness and patchiness of the skinSoothes and hydrates rough and scaly skinGives you a clear and bright lookIt is safe for use,ENT
SBL Gaultheria Procumbens Mother Tincture Q,SBL Pvt Ltd,ƒ??290,ƒ??330,4.6,118 Ratings,30 ml Mother Tincture,"Relieves inflammatory rheumatism, diaphragm and ribs muscle pain","Relieves rheumatic and rib muscle pain


Eases nerve and kidney swelling


Useful for gastric and urinary bladder problems


Helpful in face and head neuralgia",Joint
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
ADEL 27 Inflamyar Drop,Adel Pekana Germany,ƒ??260,ƒ??295,4.3,68 Ratings,20 ml Drop,,"Provides pain relief and promotes healing activity in the muscles, connective tissues, tendons and jointsImproves circulation in the afflicted areas and eliminates venous blockageSupports relief from shortened tendons, neuralgia, neuritis, tendonitis, gout and rheumatic painsAddresses tearing and stabbing-type pains and is indicated in joint and muscle rheumatism",ENT
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
Bakson's Kali Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,ƒ??106,ƒ??120,4.5,32 Ratings,250 biochemic tablets,"It is helpful in prostration, loss of mental vigor, and Depression","Manages?ÿ NeurastheniaEffective in septic HaemorrhagesFor Diarrhoea, Dysentery, adynamic or Typhoid conditions",Digestion
SBL Stobal Cough Syrup,SBL Pvt Ltd,ƒ??62.6,ƒ??70,4.6,1435 Ratings,60 ml Syrup,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,"It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tractActs on dry coughs, irritation in the throat and coughs associated with bronchitis, and laryngitisIt reduces spasmodic irritation of the chestA homeopathy cough medicine that removes phlegm and relieves difficulty in swallowing",Throat care
Dr. Reckeweg Acid Fluor Dilution 30 CH,Dr Reckeweg & Co,ƒ??119,ƒ??135,4.5,134 Ratings,11 ml Dilution,Acidum Fluoricum,"Helps with hair loss


Useful for varicose veins


Helps manage ulcers",Hair care
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
Dr. Reckeweg Selenium Trituration Tablet 3X,Dr Reckeweg & Co,ƒ??209,ƒ??240,4.2,94 Ratings,20 gm Trituration Tablet,,A homeopathy blend which is safe for consumptionEnhances immune functionHas antioxidant propertiesMay help with minor heart issuesFights inflammation and increases blood flow,ENT
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,86 Ratings,20 gm Cream,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
SBL Graphites Dilution 200 CH,SBL Pvt Ltd,ƒ??99.1,ƒ??115,4.5,256 Ratings,30 ml Dilution,,"Manages cough?ÿ


Addresses swollen eyelids


Assists with concerns associated with skin concerns like acne, eczema and psoriasis


Maintains digestive health",Eye Care
Dr. Reckeweg Agnus Castus Dilution 30 CH,Dr Reckeweg & Co,ƒ??119,ƒ??135,4.3,181 Ratings,11 ml Dilution,Its primary use includes treatment of a psychological disorder such as depression and anxiety,"Helps enhance mood


Increases energy levels


Regulates the menstrual cycle


Alleviates arthritic and rheumatic pain",Health supplement
Dr Willmar Schwabe India Tussikind Tablet,Dr Willmar Schwabe India Pvt Ltd,ƒ??122,ƒ??145,4.5,82 Ratings,10 gm Tablet,,"Helpful for cough and congestionHelps manage irritation of larynx and tracheaAids with dysphonis, wheezing and hoarsenessHelps manage constriction of bronchi",Fever
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,ƒ??151,ƒ??170,4.4,196 Ratings,200 ml Syrup,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
Dr Willmar Schwabe India Carbo Vegetabilis Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,ƒ??88,ƒ??100,4.5,279 Ratings,30 ml Dilution,Vegetable charcoal,It is used in gastro-intestinal disorders especially dyspepsia and flatulenceIt is also useful in diarrhea of old peopleHas been useful in collapse stage of choleraAids in the management of dysentry and hemorrhoids,Digestion
Dr. Reckeweg Cantharis Dilution 30 CH,Dr Reckeweg & Co,ƒ??119,ƒ??135,4.5,165 Ratings,11 ml Dilution,,"Primarily used to reduce inflammation of urinary bladder


Alleviates kidney pain


Possesses antiseptic properties


Relieves skin redness and irritation",kidney
Medisynth Wartex Pills,Medisynth Chemicals Pvt Ltd,ƒ??110,ƒ??125,4.2,56 Ratings,25 gm Tablet,,"Safe, effective and painless medication for warts and cornsBeneficial in treating benign epithelial tumorsDoes not leave any mark or scar on the skinReduces tendency to wart formation",Skin care
SBL Fel Tauri Trituration Tablet 3X,SBL Pvt Ltd,ƒ??151,ƒ??175,4.5,80 Ratings,25 gm Trituration Tablet,,"Manages liver-related concerns


Regulates blood sugar levels


Helps lower elevated cholesterol levels


Promotes bowel movements and aids in bowel cleansing",Diabetes
Dr. Reckeweg Conium Mac Dilution 200 CH,Dr Reckeweg & Co,ƒ??138,ƒ??160,4.5,176 Ratings,11 ml Dilution,,"Useful for urinary infections


Helps with inconsistent discharge of urine


Promotes healing of ulcers",kidney
Dr. Reckeweg Bio-Combination 7 (BC 7) Tablet,Dr Reckeweg & Co,ƒ??163,ƒ??185,4.7,67 Ratings,20 gm Biocombination Tablet,Calcarea Phosphorica,Helps with liver and kidney functionsRelieves cramps and sleeplessnessAids in regulating sugar levels,Diabetes
SBL Graphites Ointment,SBL Pvt Ltd,ƒ??68.9,ƒ??75,4.3,116 Ratings,25 gm Ointment,Graphites,"Helps with eczema


Helps prevent acne


Reduces dryness",Skin care
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.3,289 Ratings,30 ml Drop,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
LDD Bioscience Fungikure,LDD Bioscience Pvt Ltd,ƒ??141,ƒ??160,4.6,32 Ratings,30 ml Drop,,It helps reduce the skin irritationIt offers to minimize redness without darkening the skin,Skin care
Wheezal Hekla Lava Dental Dental Gel,Wheezal Homeo Pharma,ƒ??82,ƒ??95,4.4,76 Ratings,100 gm Dental Gel,Plantago,"Provides relief from bleeding gums and keeps gums strongerReverses the early signs of gum infectionsHelps in managing tooth decay and gum bleedingContains antibacterial, anti-inflammatory and wound healing properties",ENT
ADEL 78 Dercut Ointment,Adel Pekana Germany,ƒ??440,ƒ??510,4.2,50 Ratings,35 gm Ointment,,"Metabolises and eliminates toxins via the intestines and urological tractReduces acne, psoriasis, eczema, hives, oozing rashes, herpes zoster and itching dermatitisWell known for trachoma states of the skin, wet eczema and itching and burning pustules",Digestion
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,ƒ??329,ƒ??370,,,30 ml Drop,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
Dr Willmar Schwabe India Lycopodium Clavatum Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,ƒ??101,ƒ??115,4.4,286 Ratings,30 ml Dilution,It is used for bloating and liver complaints,"Tincture of fresh leavesRemedy works on the bloating and liver complaintsReduces back - ache, joint pains, digestive troubles, etc.",Joint
Dr Willmar Schwabe India Histaminum Hydrochloricum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,ƒ??76,ƒ??100,4.5,133 Ratings,30 ml Dilution,The medicine is indicated for the management of allergies,"Relieves allergy symptoms


This medicine uses highly diluted natural substances to relieve arthritic pain


It does not have any side effects",Fever
Wheezal WL58 Dengue Drop,Wheezal Homeo Pharma,ƒ??171,ƒ??175,,,30 ml Drop,,Helps in quick recovery in case of dengue attackHelps in relieving the symptoms of dengue disease,Fever
Dr. Reckeweg R4 Diarrhoea Drop,Dr Reckeweg & Co,ƒ??232,ƒ??270,4.5,86 Ratings,22 ml Drop,,Can help in the treatment of diarrhoeaMay provide relief from nausea and vomitingCan help reduce dehydration,Eye Care
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,ƒ??89,ƒ??100,4,285 Ratings,20 gm Cream,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Dr. Reckeweg China Off Mother Tincture Q,Dr Reckeweg & Co,ƒ??223,ƒ??255,4.6,62 Ratings,20 ml Mother Tincture,,"Prevents loss of vital fluids


Useful for chronic gout


Helps with chronic suppurative pyelitis


Manages debility and fever",Fever
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,ƒ??182,ƒ??200,,,180 ml Syrup,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
SBL Thyroidinum Dilution 200 CH,SBL Pvt Ltd,ƒ??99.1,ƒ??115,4.5,200 Ratings,30 ml Dilution,Thyroidinium,Useful in the treatment of hyperthyroidism & hypothyroidism and assoiated ailemntsEffective in treatment of goitre and migraineReduces general weakness and fatigueHelps in improving digestion,Digestion
Bhargava Angel Gloss Complexion Cream,Bhargava Phytolab,ƒ??97,ƒ??110,4,138 Ratings,30 gm Cream,Berberis Aquifolium Q 2%,"Reduces scars, pimples and blackheadsMoisturizes the skin and maintains the pHSuitable for all skin typesGently exfoliates and improves the compelxionReduces pigmentation and tanning",Skin care
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.2,119 Ratings,30 ml Drop,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
ADEL 16 Gastul Drop,Adel Pekana Germany,ƒ??260,ƒ??295,4.5,77 Ratings,20 ml Drop,,Enhances protein absorption in the bodyHelps to build healthy cells and tissuesHelps to counter mental exhaustionUseful in case of liver and gastrointestinal diseases,Liver
Dr. Reckeweg Sepia Dilution 200 CH,Dr Reckeweg & Co,ƒ??141,ƒ??160,4.6,210 Ratings,11 ml Dilution,,"Manages concerns associated with menopause


Relieves fatigue and manages nutritional deficiencies


Helps regulate helathy menstrual cycle",Health supplement
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
SBL Dysmin Tablet,SBL Pvt Ltd,ƒ??145,ƒ??165,4.6,77 Ratings,25 gm Tablet,"Cactus grandiflorus 3x, Caulophyllum thalictroides 3x, Cimicifuga racemosa 3x, Magnesium phosphoricum 3x, Viburnum opulus 3x","Relieves menstrual pain


Reduces backache


Non-drowsy and non-addictive


Relieves other menstrual symptoms",Health supplement
Dr. Reckeweg R34 Recalcifying Drop,Dr Reckeweg & Co,ƒ??238,ƒ??270,4.7,50 Ratings,22 ml Drop,Dr. Reckeweg R34 Recalcifying Drop is beneficial for improving the levels of calcium in the body,Helps in supporting bone healthReduces pain and inflammationEnhances calcium levels in the body,Joint
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
SBL Denton Tablet,SBL Pvt Ltd,ƒ??145,ƒ??165,4.5,83 Ratings,25 gm Tablet,,"Aids in calcium and phosphate absorption


Effective relief from dentition-related issues


Relieves abdominal pain, diarrhea, and irritability",Health supplement
Dr Willmar Schwabe India Hamamelis Virginica Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,ƒ??132,ƒ??150,4.4,131 Ratings,30 ml Mother Tincture,,Used in treating the inhalation of the pollen which causes haemorrhageHelps in reducing the repeated colds and tuberculosisReduces the feeling of weaknessCalms and treats the chilliness alternating with heatProvides treatment for nacho-pharyngeal catarrhUsed in case of burning in throatReduces the pain in limbs and thoracic oppression,Throat care
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
Hapdco Laxosoft Powder,HAPDCO,ƒ??147,ƒ??165,4.2,211 Ratings & 75 Reviews,100 gm Powder,"Isabgol Husk, Sanay, Amla, Bahera, Harad, Sonth, Mulethi, Saunf, Triphala","Helps relieve acidity and constipation


Supports digestive health


Promotes hepatic function


Regulates bowel movements",Digestion
Bakson B9 Hemorrhoidal Drop,Bakson's Homeopathy,ƒ??163,ƒ??185,4.6,101 Ratings,30 ml Drop,,"B9 Hemorrhoids Drops are natural and effective homoeopathic medicine for haemorrhoidsThey alleviate symptoms like anal itching and profuse bleedingThey provide relief from immediate symptoms and help prevent a recurrence, ideal for long-term useTrust B9 Hemorrhoids Drops for relief from discomfort and embarrassment caused by haemorrhoids",Skin care
Dr. Reckeweg R56 Oxysan Vermifuge Drop,Dr Reckeweg & Co,ƒ??232,ƒ??270,4.4,65 Ratings,22 ml Drop,Artemisia Vulgaris,It helps remove worms from the digestive systemIt helps maintain healthy digestive functionsIt aids in the treatment of helminths,Digestion
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
Dr. Reckeweg Hepar Sulphur Dilution 30 CH,Dr Reckeweg & Co,ƒ??119,ƒ??135,4.6,233 Ratings,11 ml Dilution,Hepar sulphur,Useful for glandular swellings and eruptionsRelieves cough and sore throatAlleviates gum pain and ear achesHelpful for digestive and skin problems,ENT
Dr. Reckeweg Acidum Phosph Dilution 200 CH,Dr Reckeweg & Co,ƒ??141,ƒ??160,4.4,122 Ratings,11 ml Dilution,,"Relieves headache, exhaustion and mental weakness


Alleviates eye soreness


Useful for stomach distention and nausea


Improves digestion and stimulates appetite",Eye Care
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,86 Ratings,20 gm Cream,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
Dr Willmar Schwabe Germany Tonsiotren Tablet,Dr Willmar Schwabe India Pvt Ltd,ƒ??396,ƒ??440,4.8,45 Ratings,20 gm Tablet,"Atropinum sulphuricum is the main alkaloid of belladonna, which gives immediate relief from inflammation, pain and improves the circulation",Effectively relieves sore throatAlleviates inflammationHelpful in cases of chronic tonsillitis and sinusitisStimulates healing process in general,Throat care
Bakson B2 Stomach Drop,Bakson's Homeopathy,ƒ??163,ƒ??185,4.4,82 Ratings,30 ml Drop,,"Natural and effective homeopathic medicine for gas and acidity problems


Provides relief from acute and chronic gastritis symptoms such as heartburn, dyspepsia, ulceration, and flatulence


Alleviates weak digestion, bloating, and fullness


Made from natural ingredients that are gentle on the stomach and have no side effects


Provides fast relief from gas and acidity-related problems


Regular use leads to long-lasting relief from digestive problems without harmful side effects",ENT
ADEL 31 Upelva Drop,Adel Pekana Germany,ƒ??260,ƒ??295,4.3,46 Ratings,20 ml Drop,,"Supports relief from strong menstruation accompanied by dark, lumpy discharge and mood swingsSoothes exhausted, nervous and hyper-irritated women and relief weakness in the lower abdomen/hypogastriumProvides protection against infections and pain in the sexual organs as well as other parts of the bodyhelps regulate influences on the digestive organs, and addresses nausea and intestinal performance anomalies",Eye Care
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,ƒ??151,ƒ??170,4.4,196 Ratings,200 ml Syrup,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
SBL Antimonium Crudum Dilution 30 CH,SBL Pvt Ltd,ƒ??88,ƒ??100,4.6,358 Ratings,30 ml Dilution,,"It helps in fighting obesityHelps treat Depression, grief and feeling of indifference towards lifeUseful in treating skin issues like pimples, vesicles and Eczema",Skin care
Dr. Reckeweg Aesculus Hippocastanum Dilution 30 CH,Dr Reckeweg & Co,ƒ??119,ƒ??135,4.5,150 Ratings,11 ml Dilution,,"Herbal remedy with versatile applications


Addresses varicose veins, haemorrhoids, swollen veins, and arthritis pain


Eases discomfort of skin issues like eczema, menstrual pain, and cough


Effective treatment for conditions ranging from diarrhoea to enlarged prostate",Fever
Medisynth Wartex Pills,Medisynth Chemicals Pvt Ltd,ƒ??110,ƒ??125,4.2,56 Ratings,25 gm Tablet,,"Safe, effective and painless medication for warts and cornsBeneficial in treating benign epithelial tumorsDoes not leave any mark or scar on the skinReduces tendency to wart formation",Skin care
SBL Caladium Seguinum Dilution 1000 CH,SBL Pvt Ltd,ƒ??118,ƒ??140,4.2,707 Ratings,30 ml Dilution,,Treats conditions related to sexual exhaustion in menProvides relief from stomach pain and crampsRelieves chest congestion and lung disorders,Digestion
Allen A08 Diabetes Drop,Allen Homoeo & Herbal Products Ltd,ƒ??153,ƒ??170,4.5,56 Ratings,30 ml Drop,,Ideal for diabetic careImproves blood pressure levelsHelps with diabetes mellitusMay curtail excess urine and thirstSafe for consumption,Diabetes
Dr. Reckeweg Passiflora Inc Mother Tincture Q,Dr Reckeweg & Co,ƒ??256,ƒ??295,4.7,58 Ratings,20 ml Mother Tincture,,Useful for insomniaRelieves headaches and convulsionsHelps in tonsils associated with whooping coughRelieves menstrual pain,Throat care
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.3,289 Ratings,30 ml Drop,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
Dr. Reckeweg Gelsemium Sempervirens Dilution 200 CH,Dr Reckeweg & Co,ƒ??140,ƒ??160,4.6,248 Ratings,11 ml Dilution,Natural Minerals,"Helps with vision and vertigo problems


Useful for colds, flu and sore throat


Helps manage nervousness and anxiety


Helps with heavy eyelids and double vision",Eye Care
Dr. Reckeweg Phytolacca Berry Mother Tincture Q,Dr Reckeweg & Co,ƒ??260,ƒ??295,4.6,51 Ratings,20 ml Mother Tincture,Phytolacca Berry,"Supports healthy metabolism


Reduces appetite and improves digestion


Effective in weight loss


Eliminates weakness due to reduced food intake",Digestion
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,ƒ??329,ƒ??370,,,30 ml Drop,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
Dr Willmar Schwabe India Bryonia Alba Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,ƒ??103,ƒ??115,4.7,292 Ratings,30 ml Dilution,"It is primarily used for the treatment of Influenza, coryza, arthritis and rheumatism","Useful in pains worse by motion and better by restManages sensitive epigastrium, and feeling of a stone in the stomachBryonia Alba is a great medicine to relieve the dryness in stools",Digestion
SBL Thlaspi Bursa Pastoris Mother Tincture Q,SBL Pvt Ltd,ƒ??194,ƒ??220,4.8,49 Ratings,30 ml Mother Tincture,,"Herbal remedy for women's health


Addresses colic discomfort in women


Manages menstrual cycle and alleviates pain",Health supplement
Dr Willmar Schwabe India Phytolacca Berry Tablet (4 in 1 Combo Pack) Tablet,Dr Willmar Schwabe India Pvt Ltd,ƒ??510,ƒ??580,4.1,64 Ratings,80 gm Tablet,Phytolacca Berry,Helps to manage weightHelps to improve digestion and absorption processHelps to counter hyperacidityHelps to overcome the feeling of weaknessUseful in case of post-delivery weight gains,Digestion
Wheezal WL58 Dengue Drop,Wheezal Homeo Pharma,ƒ??171,ƒ??175,,,30 ml Drop,,Helps in quick recovery in case of dengue attackHelps in relieving the symptoms of dengue disease,Fever
Dr. Reckeweg Bio-Combination 4 (BC 4) Tablet,Dr Reckeweg & Co,ƒ??163,ƒ??185,4.4,56 Ratings,20 gm Biocombination Tablet,Kalium Muriaticum,Helps in supporting the digestive systemAids in restoring appetiteRelieves constipation and hard stool,Digestion
Bakson's Chrysarobinum Ointment,Bakson's Homeopathy,ƒ??61.6,ƒ??70,4.5,89 Ratings,25 gm Ointment,Chrysarobinum,"Effective solution for common skin ailments


Provides relief from itching


Easy to apply and quickly absorbed


Offers fast and effective relief from symptoms


Manages dry eczema and eruptions",Skin care
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,ƒ??89,ƒ??100,4,285 Ratings,20 gm Cream,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Wheezal Calendula Dressing Powder,Wheezal Homeo Pharma,ƒ??114,ƒ??130,4.5,123 Ratings,100 gm Powder,Arnica Q,An organic blendWorks as a potent antisepticProvides itch reliefHelps with bed sores,Skin care
Dr Willmar Schwabe Germany Alfalfa Tonic,Dr Willmar Schwabe India Pvt Ltd,ƒ??1665,ƒ??1850,4.8,29 Ratings,500 ml Tonic,,Homoeopathic remedy for the management of anaemiaMay prove helpful in increasing haemoglobin levelsIt can decrease fatigue and improve strengthIt is made in Germany,Health supplement
Dr. Reckeweg Caladium Seg Dilution 200 CH,Dr Reckeweg & Co,ƒ??143,ƒ??160,4.1,313 Ratings,11 ml Dilution,,"Relieves swelling and itching?ÿ


Useful for stomach and lung disorders


Alleviates headaches, nausea and exhaustion


Relieves oppression and congestion in the chest",Eye Care
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,ƒ??182,ƒ??200,,,180 ml Syrup,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
Bakson's Nasal Aid Spray,Bakson's Homeopathy,ƒ??112,ƒ??125,4.2,147 Ratings,10 ml Spray,Bakson nasal aid spray helps relieves blockage of the nose,"Bakson Nasal Aid Spray helps to relieve nasal congestion or drynessProvides fast relief from nasal discomfortProvides relief from nasal discharge-watery, thick, bland or acridEffective against symptoms of allergic rhinitis and sinusitis",ENT
SBL Babchi Oil,SBL Pvt Ltd,ƒ??124,ƒ??145,4.2,123 Ratings,60 ml Oil,Extract of Psoralea Corylifolia,"Useful for various skin afflictionsAlleviates psoriasis, skin dryness and pale spotsPossesses antibacterial and antifungal properties",Skin care
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.2,119 Ratings,30 ml Drop,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Dr. Reckeweg Conium Mac Dilution 30 CH,Dr Reckeweg & Co,ƒ??119,ƒ??135,4.5,176 Ratings,11 ml Dilution,,"Useful for urinary infections


Helps with inconsistent discharge of urine


Promotes healing of ulcers",kidney
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
Dr. Reckeweg Hypericum Per Dilution 200 CH,Dr Reckeweg & Co,ƒ??138,ƒ??160,4.7,125 Ratings,11 ml Dilution,,"Eases joint pain


Helps relieve headaches


Useful for nerve injuries


Helps combat nervousness",Joint
Dr. Reckeweg R95 Alfalfa Tonic,Dr Reckeweg & Co,ƒ??282,ƒ??320,4.6,188 Ratings,100 ml Tonic,It helps reduce physical and mental tiredness,"Helps to overcome lack of appetite, loss of weight, weariness, anxiety, and impotenceFacilitates normal functioning of the nervous systemWorks to provide relief in case of muscle crampsEnergises vital functions in the body and promotes overall health",ENT
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
Bakson B1 Influenza & Fever Drop,Bakson's Homeopathy,ƒ??155,ƒ??185,4.6,76 Ratings,30 ml Drop,Bakson B1 Drops are a homoeopathic medicine for fever,"Homoeopathic remedy for fever, dengue, chikungunya, cough, sore throat, and sneezing


Stimulates the body's natural healing mechanisms with high-quality homoeopathic ingredients


Safe and gentle alternative to traditional medications without adverse side effects


Reduces inflammation and irritation in the respiratory tract for faster recovery and easier breathing


Alleviates malaise, fatigue, and body aches associated with fever and respiratory infections",Throat care
Dr. Reckeweg Caladium Seg Dilution 30 CH,Dr Reckeweg & Co,ƒ??119,ƒ??135,4.1,318 Ratings,11 ml Dilution,,"Relieves swelling and itching?ÿ


Useful for stomach and lung disorders


Alleviates headaches, nausea and exhaustion


Relieves oppression and congestion in the chest",Eye Care
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
New Life Bach Flower Aspen 30,New Life Laboratories Pvt Ltd,ƒ??116,ƒ??125,4.3,126 Ratings,30 ml Dilution,Replaces anxiety and hazy fears with a sense of security and peace of mind,"Replaces anxiety and hazy fears with a sense of security and peace of mindHelps people with OCD, insomnia as well as sleeping disordersHelps to overcome the naturally occurring nervous tension",ENT
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
SBL Arsenicum Sulph Flavum Trituration Tablet 3X,SBL Pvt Ltd,ƒ??154,ƒ??175,4.5,91 Ratings,25 gm Trituration Tablet,Arsenicum Sulphuratum Flavum,"Useful for skin disorders


Helps alleviate sciatica symptoms


Relieves rheumatic pains


Has analgesic properties",Skin care
Dr. Reckeweg Baryta Carb Dilution 200 CH,Dr Reckeweg & Co,ƒ??141,ƒ??160,4.5,183 Ratings,11 ml Dilution,"Reduces the loss of memory, short attention span, confusion, language difficulties, irritability and impaired judgement","Helps enhance memory


Helps with tonsillitis and associated symptoms


Helps manage the tendency to talk and twitch during sleep",Throat care
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,86 Ratings,20 gm Cream,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
